marker,article,context,provenance,link
"Chieu and Ng, 2002",P02-1061,"More details of this mixed case NER and its performance are given in (Chieu and Ng, 2002).","Case and Zone of and : Similarly, if (or ) is initCaps, a feature (initCaps, zone) (or (initCaps, zone) ) is set to 1, etc. Token Information: This group consists of 10 features based on the string , as listed in Table 1.",http://www.aclweb.org/anthology/P/P02/P02-1061.pdf
"Chieu and Ng, 2002a",P03-1028,"They are automatically derived based on the correlation metric value used in (Chieu and Ng, 2002a).","A named entity recognizer (NER) is useful in many NLP applications such as information extraction, question answering, etc. On its own, a NER can also provide users who are looking for person or organization names with quick information.",http://www.aclweb.org/anthology/P/P03/P03-1028.pdf
"Chieu and Ng, 2002a",P03-1028,"Several benchmark data sets have been used to evaluate IE approaches on semi- structured texts (Soderland, 1999; Ciravegna, 2001; Chieu and Ng, 2002a).","We propose maximizing , where is the sequence of named- entity tags assigned to the words in the sentence , and is the information that can be extracted from the whole document containing . Our system is built on a maximum entropy classifier.",http://www.aclweb.org/anthology/P/P03/P03-1028.pdf
"Chieu and Ng, 2002b",P03-1028,"More recently, machine learning approaches have been used for IE from semi-structured texts (Califf and Mooney, 1999; Soderland, 1999; Roth and Yih, 2001; Ciravegna, 2001; Chieu and Ng, 2002a), named entity extraction (Chieu and Ng, 2002b), template element extraction, and template relation extraction (Miller et al., 1998).","Such constraints are derived from training data, expressing some relationship between features and outcome.",http://www.aclweb.org/anthology/P/P03/P03-1028.pdf
2002a,P03-1028,"Soder- land (1999) and Chieu and Ng (2002a) attempted machine learning approaches for a scaled-down version of the ST task, where it was assumed that the information needed to fill one template came from one sentence only.","It differs from previous machine learning-based NERs in that it uses information from the whole document to classify each word, with just one classifier. Previous work that involves the gathering of information from the whole document often uses a secondary classifier, which corrects the mistakes of a primary sentence- based classifier.",http://www.aclweb.org/anthology/P/P03/P03-1028.pdf
"Chieu and Ng, 2002a",P03-1028,"The task we tackle is considerably more complex than that of (Soderland, 1999; Chieu and Ng, 2002a), since we need to deal with merging information from multiple sentences to fill one template.","We propose maximizing , where is the sequence of named- entity tags assigned to the words in the sentence , and is the information that can be extracted from the whole document containing . Our system is built on a maximum entropy classifier.",http://www.aclweb.org/anthology/P/P03/P03-1028.pdf
2002,P05-1045,"Chieu and Ng (2002) propose a solution to this problem: for each token, they define additional features taken from other occurrences of the same token in the document.",Global features are extracted from other occurrences of the same token in the whole document.,http://www.aclweb.org/anthology/P/P05/P05-1045.pdf
"Chieu and Ng, 2002",P05-1051,"(Borthwick, 1999) made a second tagging pass which uses information on token sequences tagged in the first pass; (Chieu and Ng, 2002) used as features information about features assigned to other instances of the same token.Recently, in (Ji and Grishman, 2004) we pro posed a name tagging method which applied an SVM based on coreference information to filter the names with low confidence, and used coreference rules to correct and recover some names.",Global features are extracted from other occurrences of the same token in the whole document.,http://www.aclweb.org/anthology/P/P05/P05-1051.pdf
"Chieu and Ng, 2002",P06-1141," Most work has looked to model non-local dependencies only within a document (Finkel et al., 2005; Chieu and Ng, 2002; Sutton and McCallum, 2004; Bunescu and Mooney, 2004).","We propose maximizing , where is the sequence of named- entity tags assigned to the words in the sentence , and is the information that can be extracted from the whole document containing . Our system is built on a maximum entropy classifier.",http://www.aclweb.org/anthology/P/P06/P06-1141.pdf
"Chieu and Ng, 2002b",W03-0423,"Such global features enhance the performance of NER (Chieu and Ng, 2002b).","In this paper, we show that the maximum entropy framework is able to make use of global information directly, and achieves performance that is comparable to the best previous machine learning-based NERs on MUC6 and MUC7 test data.",http://www.aclweb.org/anthology/W/W03/W03-0423.pdf
