marker,article,previous,current,next,link
"(Halliday, 1978",P96-1026,3 Linguistic Framework: Systemic Functional Linguistics,"Our analysis was carried out within the framework of Systemic-Functional Linguistics (sFL) (Halliday, 1978; Halliday, 1985) which views language as a resource for the creation of meaning.",SFL stratifies meaning into context and language.,http://www.aclweb.org/anthology/P/P96/P96-1026.pdf
"(Carroll, 1994",P96-1026,"Furthermore, we know that Macintosh documentation undergoes thorough local quality control.","It certainly conforms to the principles of good documentation established by current research on technical documentation and on the needs of end-users, e.g., (Carroll, 1994; Hammond, 1994), in that it supplies clear and concise information for the task at hand.","Finally, we have been assured by French users of the software that they consider this particular manual to be well written and to bear no unnatural trace of its origins.",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf
"(Martin, 1992)",P96-1026,"In such cases, we must appeal to another source of control over the apparently available choices.","We have looked to the construct of genre (Martin, 1992) to provide this additional control, on two grounds: (1) since genres are distinguished by their communicative purposes, we can view each of the functional sections already identified as a distinct genre; (2) genre is presented as controlling text structure and realisation.","In Martin's view, genre is defined as a staged, goal-oriented social process realised through register, the context of situation, which in turn is realised in language to achieve the goals of a text.",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf
"(McKeown, 1985",P96-1026,"It will also allow us to determine the text structures appropriate in each genre, a study we are currently undertaking.","This is consistent with other accounts of text structure for text generation in technical domains, e.g., (McKeown, 1985; Paris, 1993; Kittredge et al., 1991).","For those cases where the realisation remains under-determined by the task element type, we conducted a finer-grained analysis, by overlaying a genre partition on the undifferentiated data.",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf
"(Kosseim and Lapalme, 1994",P96-1026,9 Related Work,"The results from our linguistic analysis are consistent with other research on sublanguages in the instructions domain, in both French and English, e.g., (Kosseim and Lapalme, 1994; Paris and Scott, 1994).",Our analysis goes beyond previous work by identifying within the discourse context the means for exercising explicit control over a text generator.,http://www.aclweb.org/anthology/P/P96/P96-1026.pdf
"(Paris and Scott, 1994)",P96-1026,Our analysis goes beyond previous work by identifying within the discourse context the means for exercising explicit control over a text generator.,"An interesting difference with respect to previous descriptions is the use of the true (or direct) imperative to express an action in the procedure genre, as results from (Paris and Scott, 1994) seem to indicate that the infinitive-form of the imperative is preferred in French.","These results, however, were obtained from a corpus of instructions mostly for domestic appliances as opposed to software manuals.",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf
"(Kocourek, 1982)",P96-1026,"These results, however, were obtained from a corpus of instructions mostly for domestic appliances as opposed to software manuals.","Furthermore the use of the infinitive-form in instructions in general as observed by (Kocourek, 1982) is declining, as some of the conventions already common in English technical writing are being adopted by French technical writers, e.g., (Timbal-Duclaux, 1990).","We also note that the patterns of realisations uncovered in our analysis follow the principle of good technical writing practice known as the minimalist approach, e.g., (Carroll, 1994; Hammond, 1994).",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf
"(Biber, 1995)",P96-1026,2 Methodology,"The methodology we employed is similar to that endorsed by (Biber, 1995).",It is summarised as follows:,http://www.aclweb.org/anthology/P/P96/P96-1026.pdf
"(Vapnik, 1998)",W06-2204,"Rather than relying on redundancy of the fragments, TPLEX exploits redundancy of the learned extraction patterns.","TPLEX is a transductive algorithm (Vapnik, 1998), in that the goal is to perform extraction from a given unlabelled corpus, given a labelled corpus.","This is in contrast to the typical machine learning framework, where the goal is a set of extraction patterns (which can of course then be applied to new unlabelled text).",http://www.aclweb.org/anthology/W/W06/W06-2204.pdf
"Alche Buc et al., 2002)",W06-2204,It remains to be seen whether this approach would be effective for information extraction.,"Another possibility is to explore semi-supervised extensions to boosting (d'Alche Buc et al., 2002).","Boosting is a highly effective ensemble learning technique, and BWI uses boosting to tune the weights of the learned patterns, so if we generalize boosting to handle unlabelled data, then the learned weights may well be more effective than those calculated by TPLEX.",http://www.aclweb.org/anthology/W/W06/W06-2204.pdf
"(Freitag and Kushmerick, 2000)",W06-2204,"This strategy has previously been employed successfully (Freitag and Kushmerick, 2000; Ciravegna, 2001; Yangarber et al., 2002; Finn and Kushmerick, 2004).","TPLEX's boundary detectors are similar to those learned by BWI (Freitag and Kushmerick, 2000).","A boundary detector has two parts, a left pattern and a right pattern.",http://www.aclweb.org/anthology/W/W06/W06-2204.pdf
"(McCallum, 2002)",W06-2204,The results for ELIE were generated by the current implementation [http://smi.ucd.ie/aidan/Software.html].,"For the CRF results, we used MALLET's SimpleTagger (McCallum, 2002), with each token encoded with a set of binary features (one for each observed literal, as well as the eight token generalizations).",Our results in Fig.,http://www.aclweb.org/anthology/W/W06/W06-2204.pdf
(2012),W15-2134,2 Related work,Schwartz et al (2012) is a systematic study of how representation choices in dependency annotation schemes affect their learnability for parsing.,"The choice points investigated, much like in the current paper, relate to the issue of headedness.",http://www.aclweb.org/anthology/W/W15/W15-2134.pdf
"(Nivre et al., 2007)",W15-2134,"For all parsers and in most experiments (which explore several pipelines with different POS-tagging strategies), SD is easier to label (i.e., label accuracy scores are higher) and CoNLL is easier to structure (i.e., unlabeled attachment scores are higher).","In terms of LAS, MaltParser (Nivre et al., 2007) performs best of the 3 parsers with SD, and MSTParser (McDonald et al., 2006) performs best with CoNLL.","In Nilsson et al (2006), the authors investigate the effects of two types of input transformation on the performance of MaltParser.",http://www.aclweb.org/anthology/W/W15/W15-2134.pdf
"(Nivre et al., 2015)",W15-2134,The result is the first human-checked largescale gold standard for syntactic dependency annotation of English text.,"The first version annotated with the UD representation was released in 2015 (Nivre et al., 2015)1.",1http://universaldependencies.github.io/docs/,http://www.aclweb.org/anthology/W/W15/W15-2134.pdf
(2012),W15-2134,"Here, since the main concern is the design of a parsing representation that is meant simply as an intermediary step, all output has to be evaluated against the same gold standard.",This creates an opportunity for losses that did not exist in the experiments of Schwartz et al (2012).,7 Conclusion,http://www.aclweb.org/anthology/W/W15/W15-2134.pdf
"(Zhu et al., 2014)",S15-2109,"However, state-of-the-art systems still largely depend on linguistic resources, extensive feature engineering and tuning.","Indeed, if we look at the best performing systems from SemEval 2014 (Zhu et al., 2014), (Malandrakis et al., 2014), both make extensive use of these resources, including hundreds of thousands of features, special treatment for negation, multi-word expressions or special strings like emoticons.","In this paper we present the INESC-ID system for the 2015 SemEval message polarity classification task (Rosenthal et al., 2015).",http://www.aclweb.org/anthology/S/S15/S15-2109.pdf
"(Rumelhart et al., 1985)",S15-2109,"The parameters of subspace model in Equation 2, S and C were estimated to minimize the negative log-likelihood of the correct class.","Training employed conventional Stochastic Gradient Descent (Rumelhart et al., 1985) with mini-batch size 1 and random uniform initialization similar to (Glorot and Bengio, 2010).","After some initial experiments, it was determined that a learning rate of 0.01 and selecting the model with the best accuracy on the 20% set after 8 iterations led to the best results.",http://www.aclweb.org/anthology/S/S15/S15-2109.pdf
"(Owoputi et al., 2013)",S15-2109,"The embedding matrix E was trained in unsupervised fashion using the structured skip-gram model, described in Section 2.","We used the corpus of 52 million tweets used in (Owoputi et al., 2013) with the tokenizer described in the same work.",The words that occurred less than 40 times in the data were discarded from the vocabulary.,http://www.aclweb.org/anthology/S/S15/S15-2109.pdf
"(Goldberg and Levy, 2014)",S15-2109,The words that occurred less than 40 times in the data were discarded from the vocabulary.,"To train the model, we used a negative sampling rate of 25 words, sampled from a multinomial of unigram word probabilities over all the vocabulary (Goldberg and Levy, 2014).","Embeddings of 50, 200, 400 and 600 dimensions were trained.",http://www.aclweb.org/anthology/S/S15/S15-2109.pdf
"(Mandl and Womser-Hacker, 2005, ",E09-1091,Named Entities (NEs) play a critical role in many Natural Language Processing and Information Retrieval (IR) tasks.,"In Cross-Language Information Retrieval (CLIR) systems, they play an even more important role as the accuracy of their transliterations is shown to correlate highly with the performance of the CLIR systems (Mandl and Womser-Hacker, 2005, Xu and Weischedel, 2005).",Traditional methods for transliterations have not proven to be very effective in CLIR.,http://www.aclweb.org/anthology/E/E09/E09-1091.pdf
"(Klementiev and Roth, 2006)",E09-1091,"We demonstrate MINT's effectiveness on 4 language pairs involving 5 languages (English, Hindi, Kannada, Russian, and Tamil) from 3 different language families, and its scalability on corpora of vastly different sizes (2,000 to 200,000 articles).","We show that MINT's performance is significantly better than a state of the art method (Klementiev and Roth, 2006).","Proceedings of the 12th Conference of the European Chapter of the ACL, pages 799-807, Athens, Greece, 30 March - 3 April 2009. c2009 Association for Computational Linguistics",http://www.aclweb.org/anthology/E/E09/E09-1091.pdf
"(Klementiev and Roth, 2006",E09-1091,"The ubiquitous availability of comparable news corpora in multiple languages suggests a promising alternative to Machine Transliteration, namely, the mining of Named Entity Transliteration Equivalents (NETEs) from such corpora.","News stories are typically rich in NEs and therefore, comparable news corpora can be expected to contain NETEs (Klementiev and Roth, 2006; Tao et al., 2006).","The large quantity and the perpetual availability of news corpora in many of the world's languages, make mining of NETEs a viable alternative to traditional approaches.",http://www.aclweb.org/anthology/E/E09/E09-1091.pdf
"(Pirkola et al., 2003)",E09-1091,"The limited coverage of dictionaries has been recognized as a problem in CLIR and MT (Demner-Fushman & Oard, 2002; Mandl & Womser-hacker, 2005; Xu &Weischedel, 2005).","In order to address this problem, different kinds of approaches have been taken, from learning transformation rules from dictionaries and applying the rules to find cross-lingual spelling variants (Pirkola et al., 2003), to learning translation lexicon from monolingual and/or comparable corpora (Fung, 1995; Al-Onaizan and Knight, 2002; Koehn and Knight, 2002; Rapp, 1996).","While these works have focused on finding translation equivalents of all class of words, we focus specifically on transliteration equivalents of NEs.",http://www.aclweb.org/anthology/E/E09/E09-1091.pdf
"(Klementiev and Roth, 2006)",E09-1091,"In contrast, our approach mines NETEs from article pairs that may not even have any parallel or nearly parallel sentences.","NETE discovery from comparable corpora using time series and transliteration model was proposed in (Klementiev and Roth, 2006), and extended for NETE mining for several languages in (Saravanan and Kumaran, 2007).","However, such methods miss vast majority of the NETEs due to their dependency on frequency signatures.",http://www.aclweb.org/anthology/E/E09/E09-1091.pdf
