_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,what_is_the_function_of_this_citation,what_is_the_function_of_this_citation:confidence,article,current,link,marker,next,previous,what_is_the_function_of_this_citation_gold
1157166537,false,finalized,3,2/12/2017 17:00:34,Pos,1.0,P96-1026,"Our analysis was carried out within the framework of Systemic-Functional Linguistics (sFL) (Halliday, 1978; Halliday, 1985) which views language as a resource for the creation of meaning.",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf,"(Halliday, 1978",SFL stratifies meaning into context and language.,3 Linguistic Framework: Systemic Functional Linguistics,
1157166538,false,finalized,3,2/12/2017 16:34:53,Neut,0.6575,P96-1026,"It certainly conforms to the principles of good documentation established by current research on technical documentation and on the needs of end-users, e.g., (Carroll, 1994; Hammond, 1994), in that it supplies clear and concise information for the task at hand.",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf,"(Carroll, 1994","Finally, we have been assured by French users of the software that they consider this particular manual to be well written and to bear no unnatural trace of its origins.","Furthermore, we know that Macintosh documentation undergoes thorough local quality control.",
1157166539,false,finalized,3,2/12/2017 16:38:45,Pos,0.6627,P96-1026,"We have looked to the construct of genre (Martin, 1992) to provide this additional control, on two grounds: (1) since genres are distinguished by their communicative purposes, we can view each of the functional sections already identified as a distinct genre; (2) genre is presented as controlling text structure and realisation.",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf,"(Martin, 1992)","In Martin's view, genre is defined as a staged, goal-oriented social process realised through register, the context of situation, which in turn is realised in language to achieve the goals of a text.","In such cases, we must appeal to another source of control over the apparently available choices.",
1157166540,false,finalized,3,2/12/2017 18:16:57,Neut,0.6505,P96-1026,"This is consistent with other accounts of text structure for text generation in technical domains, e.g., (McKeown, 1985; Paris, 1993; Kittredge et al., 1991).",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf,"(McKeown, 1985","For those cases where the realisation remains under-determined by the task element type, we conducted a finer-grained analysis, by overlaying a genre partition on the undifferentiated data.","It will also allow us to determine the text structures appropriate in each genre, a study we are currently undertaking.",
1157166541,false,finalized,3,2/12/2017 16:41:50,CoCo,0.6828,P96-1026,"The results from our linguistic analysis are consistent with other research on sublanguages in the instructions domain, in both French and English, e.g., (Kosseim and Lapalme, 1994; Paris and Scott, 1994).",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf,"(Kosseim and Lapalme, 1994",Our analysis goes beyond previous work by identifying within the discourse context the means for exercising explicit control over a text generator.,9 Related Work,
1157166542,false,finalized,4,2/12/2017 16:19:44,Pos,0.5063,P96-1026,"An interesting difference with respect to previous descriptions is the use of the true (or direct) imperative to express an action in the procedure genre, as results from (Paris and Scott, 1994) seem to indicate that the infinitive-form of the imperative is preferred in French.",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf,"(Paris and Scott, 1994)","These results, however, were obtained from a corpus of instructions mostly for domestic appliances as opposed to software manuals.",Our analysis goes beyond previous work by identifying within the discourse context the means for exercising explicit control over a text generator.,
1157166543,false,finalized,3,2/12/2017 16:37:33,Weak,0.6766,P96-1026,"Furthermore the use of the infinitive-form in instructions in general as observed by (Kocourek, 1982) is declining, as some of the conventions already common in English technical writing are being adopted by French technical writers, e.g., (Timbal-Duclaux, 1990).",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf,"(Kocourek, 1982)","We also note that the patterns of realisations uncovered in our analysis follow the principle of good technical writing practice known as the minimalist approach, e.g., (Carroll, 1994; Hammond, 1994).","These results, however, were obtained from a corpus of instructions mostly for domestic appliances as opposed to software manuals.",
1157166544,false,finalized,3,2/12/2017 16:40:00,CoCo,0.6809,P96-1026,"The methodology we employed is similar to that endorsed by (Biber, 1995).",http://www.aclweb.org/anthology/P/P96/P96-1026.pdf,"(Biber, 1995)",It is summarised as follows:,2 Methodology,
1157166545,false,finalized,4,2/12/2017 16:21:45,Neut,1.0,W06-2204,"TPLEX is a transductive algorithm (Vapnik, 1998), in that the goal is to perform extraction from a given unlabelled corpus, given a labelled corpus.",http://www.aclweb.org/anthology/W/W06/W06-2204.pdf,"(Vapnik, 1998)","This is in contrast to the typical machine learning framework, where the goal is a set of extraction patterns (which can of course then be applied to new unlabelled text).","Rather than relying on redundancy of the fragments, TPLEX exploits redundancy of the learned extraction patterns.",
1157166546,false,finalized,4,2/12/2017 16:19:44,Neut,0.5635,W06-2204,"Another possibility is to explore semi-supervised extensions to boosting (d'Alche Buc et al., 2002).",http://www.aclweb.org/anthology/W/W06/W06-2204.pdf,"Alche Buc et al., 2002)","Boosting is a highly effective ensemble learning technique, and BWI uses boosting to tune the weights of the learned patterns, so if we generalize boosting to handle unlabelled data, then the learned weights may well be more effective than those calculated by TPLEX.",It remains to be seen whether this approach would be effective for information extraction.,
